ID,Gender,Percent_SSC,Board_SSC,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA
1,M,56.0,ICSE,58.0,ISC,Commerce,67.0,Management,0,,0,0.0,0.0,65.28,Marketing & Finance,62,77,77
2,M,41.0,Others,51.0,Others,Science,61.0,Computer Applications,1,MAT,1,86.0,86.0,62.48,Marketing & Finance,59,72,75
3,F,53.0,Others,40.0,Others,Arts,54.0,Arts,1,MAT,1,65.0,65.0,56.11,Marketing & HR,54,66,75
4,M,59.0,Others,58.0,Others,Commerce,59.0,Management,0,G-MAT,1,0.0,0.0,59.81,Marketing & HR,53,66,78
5,F,61.5,Others,65.4,CBSE,Arts,67.93,Management,0,MAT,1,61.0,61.0,64.27,Marketing & Finance,69,69,61
6,M,60.6,Others,54.0,Others,Commerce,59.5,Management,0,MAT,1,57.63,57.63,62.72,Marketing & HR,63,58,58
7,F,76.0,Others,73.0,Others,Commerce,83.0,Commerce,0,MAT,1,95.0,95.0,69.06,Marketing & Finance,78,73,80
8,M,54.0,Others,55.0,Others,Commerce,58.0,Management,0,MAT,1,67.0,67.0,57.03,Marketing & Finance,58,72,57
9,M,54.16,ICSE,57.4,ISC,Commerce,54.52,Management,1,MAT,1,22.95,22.95,58.0,Marketing & Finance,55,62,65
10,M,40.5,Others,60.14,Others,Commerce,52.37,Commerce,1,MAT,1,42.26,42.26,61.31,Marketing & Finance,56,64,61
11,F,64.0,ICSE,70.0,Others,Commerce,83.5,Commerce,0,MAT,1,74.0,74.0,67.0,Marketing & HR,66,64,64
12,M,84.0,Others,84.0,Others,Commerce,64.0,Commerce,0,MAT,1,95.0,95.0,62.9,Marketing & HR,68,59,72
13,M,74.0,Others,72.0,Others,Science,71.0,Science,0,MAT,1,80.0,80.0,67.05,Marketing & Finance,73,73,58
14,M,59.0,Others,77.0,Others,Science,59.0,Engineering,1,MAT,1,69.0,69.0,57.65,Marketing & Finance,57,79,62
15,F,71.0,Others,70.0,Others,Commerce,69.0,Management,2,MAT,1,80.0,80.0,67.69,Marketing & Finance,84,70,73
16,M,77.0,Others,49.5,Others,Science,64.0,Management,0,MAT,1,50.53,50.53,59.5,Marketing & Finance,70,59,56
17,M,64.6,ICSE,54.0,CBSE,Science,64.0,Others,0,MAT,1,75.0,75.0,59.08,Marketing & HR,59,67,62
18,M,52.5,Others,53.4,Others,Commerce,55.21,Management,1,,0,0.0,0.0,72.0,Marketing & Finance,73,79,55
19,M,67.7,Others,54.0,Others,Science,59.0,Management,0,MAT,1,40.0,40.0,58.95,Marketing & HR,53,60,58
20,M,56.0,Others,54.0,Others,Science,59.0,Management,0,CAT,1,70.0,70.0,61.83,Marketing & HR,54,71,68
21,F,77.0,ICSE,79.0,ISC,Commerce,86.7,Management,1,K-MAT,1,95.0,95.0,67.83,Marketing & Finance,75,79,75
22,M,55.0,ICSE,52.0,ISC,Commerce,51.0,Management,1,MAT,1,78.0,78.0,54.55,Marketing & Finance,50,75,51
23,M,56.57,Others,82.66,Others,Commerce,63.9,Commerce,1,MAT,1,56.15,56.15,65.99,Marketing & HR,69,58,64
24,F,84.0,ICSE,87.0,ISC,Commerce,75.0,Management,0,CAT,1,80.0,80.0,72.21,Marketing & Finance,79,67,64
25,M,64.0,ICSE,69.0,Others,Science,60.0,Engineering,0,MAT,1,85.0,85.0,55.3,Marketing & HR,54,64,57
26,M,50.0,CBSE,57.0,CBSE,Commerce,58.0,Commerce,0,MAT,1,53.88,53.88,54.97,Marketing & Finance,62,64,64
27,M,56.0,Others,42.0,ISC,Science,59.0,Computer Applications,2,,0,0.0,0.0,51.48,Marketing & Finance,50,53,55
28,M,68.0,CBSE,75.0,CBSE,Commerce,80.0,Management,0,MAT,1,82.0,82.0,60.44,Marketing & Finance,65,77,57
29,F,79.6,Others,87.0,ISC,Commerce,72.35,Management,0,K-MAT,1,98.69,98.69,69.78,Marketing & HR,71,67,60
30,M,57.0,Others,73.0,Others,Arts,59.0,Arts,1,MAT,1,75.0,75.0,59.81,Marketing & Finance,53,67,62
31,F,56.0,ICSE,72.0,ISC,Commerce,72.0,Commerce,0,MAT,1,43.0,43.0,58.73,Marketing & Finance,58,73,61
32,M,54.0,CBSE,67.0,CBSE,Commerce,61.0,Management,0,MAT,1,67.0,67.0,56.49,Marketing & Finance,53,71,74
33,M,74.67,Others,59.89,Others,Commerce,66.67,Management,0,MAT,1,89.0,89.0,60.39,Marketing & Finance,52,65,60
34,M,74.81,ICSE,75.32,ISC,Commerce,48.23,Commerce,0,MAT,1,83.0,83.0,53.37,Marketing & Finance,54,60,53
35,M,60.0,CBSE,60.0,CBSE,Commerce,73.0,Commerce,0,MAT,1,83.0,83.0,58.87,Marketing & Finance,55,74,68
36,M,58.0,Others,54.5,Others,Commerce,49.85,Commerce,0,,0,0.0,0.0,62.89,Marketing & Finance,55,67,73
37,M,61.0,CBSE,55.0,ISC,Science,54.0,Engineering,1,MAT,1,66.0,66.0,59.43,Marketing & HR,52,65,67
38,M,58.0,ICSE,59.0,ISC,Commerce,56.0,Management,0,,0,0.0,0.0,55.1,Marketing & Finance,50,57,50
39,F,69.0,Others,78.2,CBSE,Commerce,65.0,Management,0,MAT,1,50.0,50.0,62.5,Marketing & Finance,65,63,59
40,F,55.23,CBSE,64.0,CBSE,Science,60.0,Management,0,MAT,1,72.0,72.0,59.47,Marketing & Finance,54,73,63
41,M,52.0,Others,42.0,CBSE,Science,69.0,Others,0,MAT,1,63.0,63.0,51.21,Marketing & Finance,51,50,50
42,F,67.0,Others,52.0,Others,Science,65.0,Management,0,MAT,1,55.5,55.5,58.4,Marketing & HR,57,74,60
43,M,44.0,CBSE,45.0,CBSE,Science,64.0,Management,0,MAT,1,97.0,97.0,53.39,Marketing & Finance,60,58,58
44,M,52.8,CBSE,63.4,CBSE,Commerce,58.6,Management,2,MAT,1,82.66,82.66,64.34,Marketing & Finance,58,74,68
45,M,55.0,Others,74.67,Others,Arts,59.0,Computer Applications,2,GCET,1,50.0,50.0,60.43,Marketing & Finance,51,69,80
46,F,74.4,Others,52.0,Others,Science,58.74,Science,1,MAT,1,92.0,92.0,63.62,Marketing & Finance,62,87,73
47,F,67.0,CBSE,48.0,Others,Science,65.0,Management,0,MAT,1,55.6,55.6,65.63,Marketing & HR,66,78,62
48,F,55.0,ICSE,69.0,ISC,Commerce,65.0,Commerce,0,MAT,1,55.0,55.0,62.93,Marketing & Finance,50,75,66
49,F,84.0,Others,60.0,Others,Science,79.0,Management,1,MAT,1,88.0,88.0,72.78,Marketing & Finance,73,83,77
50,M,72.0,Others,78.0,Others,Commerce,66.63,Engineering,0,,0,0.0,0.0,52.91,Marketing & Finance,50,61,59
51,M,53.8,Others,46.3,Others,Science,66.1,Management,0,MAT,1,30.71,30.71,56.0,Marketing & Finance,53,55,55
52,M,59.0,CBSE,75.0,CBSE,Commerce,65.0,Management,0,MAT,1,35.0,35.0,62.51,Marketing & Finance,59,76,56
53,M,62.6,Others,50.6,Others,Commerce,52.0,Management,0,MAT,1,34.53,34.53,58.63,Marketing & HR,62,57,56
54,M,77.0,Others,65.0,Others,Science,70.0,Science,0,MAT,1,87.0,87.0,71.04,Marketing & HR,70,73,84
